id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31636420,Nice apt hypercentre Pentes de la Croix Rousse,291015206,Luckey,,1er Arrondissement,45.77315,4.83401,Entire home/apt,78,2,75,2021-09-03,2.26,94,157,19,6938112619972
31639346,T2 moderne en plein coeur de lyon,218647419,Gabrielle,,7e Arrondissement,45.74725,4.84004,Entire home/apt,55,365,3,2019-07-14,0.10,1,0,0,
31639467,Superb Apartment close to the quays in the heart of Lyon,402191311,GuestReady,,7e Arrondissement,45.75451,4.84159,Entire home/apt,71,2,85,2021-11-28,2.44,29,347,33,0693871800526
31641976,Appartement exceptionnel sur les berges du Rhône !,237226338,Nadia,,6e Arrondissement,45.76961,4.8412,Entire home/apt,264,3,11,2021-10-20,0.33,1,292,3,6938612666355
31646741,Au cœur de Lyon,41259974,Eloisa,,3e Arrondissement,45.76331,4.84553,Entire home/apt,350,365,0,,,1,364,0,
31661774,Gasparin - Location T2 - Lyon 2,5931758,2beapart,,2e Arrondissement,45.75985,4.83329,Entire home/apt,120,1,12,2019-09-14,0.35,25,335,0,6938112723407
31668325,Chambre cocon à confluence ds appartement moderne,13746538,Modwene,,2e Arrondissement,45.74491,4.81677,Private room,60,1,39,2021-12-05,1.14,1,0,16,
31701554,Apt 72m2- balcon -parking gratuit- calme 5mn métro,51596208,Carine,,9e Arrondissement,45.78549,4.80244,Entire home/apt,107,2,69,2021-12-05,1.98,1,90,23,6938912652317
31703449,2 pièces jean Macé tout confort et parking privé,237775498,Frédéric,,7e Arrondissement,45.74192,4.84012,Entire home/apt,56,1,149,2021-12-10,5.65,1,198,79,6938712726607
31723315,T1 Cosy à Lyon 3,136710451,Wided,,3e Arrondissement,45.75643,4.86737,Entire home/apt,80,365,4,2019-10-27,0.13,1,0,0,
31737583,Chambre studio calme indépendante avec balcon,5990002,Aïda,,7e Arrondissement,45.73329,4.82882,Private room,53,1,112,2021-12-05,3.21,1,275,23,D-20190223-0016
31781767,Chambre avec terrasse privée à l’étage d’un duplex,41130241,Joanna,,2e Arrondissement,45.74129,4.82076,Private room,48,1,9,2019-03-29,0.26,1,0,0,
31796230,"Chambre agréable avec salon lumineux et spacieux quartier Jean Macé, proche des transports en communs",190576513,Fanny,,7e Arrondissement,45.74407,4.84343,Private room,31,1,48,2020-02-05,1.38,1,0,0,
31802467,Chambre avec terrasse et salle d'eau privative,69158826,Valerie,,5e Arrondissement,45.74958,4.79206,Private room,56,4,14,2021-11-20,0.40,1,1,5,
31817790,2 chambres dans appartement avec terrasse et vue,227121910,Cécile,,4e Arrondissement,45.77931,4.83664,Private room,70,3,5,2020-10-21,0.19,7,329,0,
31822270,SLO Living Hostel - Chambre pour 8 personnes,224927537,SLO Living,,3e Arrondissement,45.75645,4.84644,Hotel room,219,1,2,2019-10-13,0.07,3,0,0,
31844549,Pieds à terre (4 pers) Lyon Part-Dieu-centre,238474923,Kévin,,3e Arrondissement,45.76191,4.86681,Entire home/apt,116,2,61,2021-01-02,1.77,1,0,2,6938312630014
31848996,Appartement + terrasse (130m²) - Quartier Montchat,238683072,Jean-Luc,,3e Arrondissement,45.74923,4.88497,Entire home/apt,129,1,7,2019-04-08,0.21,1,59,0,6938312652778
31858554,T1 bis idéal pr un WE en couple ou entre amis,25928529,Agathe,,7e Arrondissement,45.75012,4.84388,Entire home/apt,50,365,8,2021-04-04,0.23,2,0,1,
31882026,"Joli T2 au cœur des pentes X-rousse, au calme",65875657,Jessie,,1er Arrondissement,45.77191,4.82483,Entire home/apt,56,1,43,2021-07-24,1.23,1,0,36,6938112966994
31896332,Chambre privée Saxe Gambetta,15364809,Madila,,3e Arrondissement,45.75779,4.84512,Private room,30,5,0,,,1,0,0,
31897142,Charmant studio à la Part Dieu,215915788,Delce,,3e Arrondissement,45.75676,4.85111,Entire home/apt,53,1,126,2021-08-19,3.61,4,80,21,0693831900085
31916548,HONORÊ - SUITE PALAIS GRILLET (4 PERS),153244990,Carine & Daniel,,2e Arrondissement,45.76209,4.83611,Entire home/apt,110,3,10,2019-05-20,0.29,14,0,0,6938212350127
31921023,Appartement lumineux T2 50m² + terrasse,20273858,Manon,,8e Arrondissement,45.73539,4.85078,Entire home/apt,57,2,43,2021-10-31,1.24,1,1,16,6938712912192
31937523,Modern & luminous studio - Lyon near train station,291015206,Luckey,,3e Arrondissement,45.75829,4.86705,Entire home/apt,102,3,48,2020-03-01,1.39,94,0,0,0693831900004
31940861,Room in Lyon 5. 10 min from perrache,181580177,Tony,,2e Arrondissement,45.76079,4.83461,Private room,60,1,2,2019-07-03,0.06,1,83,0,
31944509,Appartement cosy sur la presqu'île,99091570,Alex,,1er Arrondissement,45.77096,4.83535,Entire home/apt,80,365,4,2019-07-04,0.12,2,0,0,
31948711,chambre avec un grand bureau,37078595,Asny,,8e Arrondissement,45.73205,4.88452,Private room,39,2,12,2021-11-25,0.35,2,1,3,
32003585,"T3  115m²  dernier étage, terrasse de 34m², garage",13369059,Noémie,,3e Arrondissement,45.74622,4.89604,Entire home/apt,120,365,14,2019-08-14,0.43,1,0,0,
32024251,Appart Part-Dieu à 2 min de la Gare,19551688,César,,3e Arrondissement,45.76288,4.8632,Private room,75,3,16,2021-06-17,0.46,1,108,1,
32029820,Appartement Lyon - 100m²,125838423,Antonin,,5e Arrondissement,45.76089,4.82747,Entire home/apt,400,365,0,,,1,0,0,
32031107,Appartement T2 Lyon 8ème,19459721,Hilam,,8e Arrondissement,45.73176,4.8862,Entire home/apt,130,1,7,2019-08-13,0.20,1,0,0,6938813145757
32036543,"Charmant appartement, coeur historique de Lyon",240190766,Véronique,,5e Arrondissement,45.75851,4.82552,Entire home/apt,132,2,33,2021-12-09,1.39,1,232,29,6938512934816
32055322,Duplex moderne au cœur de lyon,10740664,Annick,,2e Arrondissement,45.75528,4.82989,Entire home/apt,110,2,23,2020-12-11,0.69,1,274,1,6938212511166
32059472,Studio proche gare Part Dieu,174480819,Kévin,,3e Arrondissement,45.75539,4.86492,Entire home/apt,40,365,4,2019-04-19,0.12,1,0,0,
32068298,✅  Part Dieu / Brotteaux,119768346,Bertrand,,6e Arrondissement,45.76459,4.8554,Entire home/apt,81,1,120,2021-12-04,3.46,1,169,93,6938612561437
32071761,Appartement étudiant en plein centre,26475285,Thuan,,2e Arrondissement,45.75823,4.82844,Entire home/apt,35,365,16,2020-07-19,0.47,1,0,0,
32079785,Loft à louer,45257775,Camille,,8e Arrondissement,45.73104,4.8793,Private room,50,1,0,,,2,0,0,
32082444,ADORABLE STUDIO PROCHE LYON 1ER,91854385,Cécile,,4e Arrondissement,45.77938,4.84028,Entire home/apt,30,7,6,2021-08-09,0.19,1,0,4,
32086414,Chambrette  orange lyonnaise,65326569,Sylviane,,8e Arrondissement,45.731647,4.875941,Private room,30,6,4,2021-07-19,0.12,4,7,3,
32107030,Appartement cosy au coeur du 7ème!,38318306,Marion,,7e Arrondissement,45.7525,4.84367,Entire home/apt,49,1,75,2021-11-01,2.16,1,21,18,6938713060662
32157353,Chambre + SDB privées - Art Déco  - Saxe Gambetta,72992068,Romain,,7e Arrondissement,45.7509,4.84998,Private room,29,2,55,2020-10-27,1.77,1,0,0,
32163040,Chambre meublée pour 2 personnes Jean Macé,184856210,Cédric,,7e Arrondissement,45.74425,4.84633,Private room,28,2,5,2019-03-17,0.15,1,0,0,
32177024,Grand appartement 3 ch. Quartier Saxe/Lafayette,2151921,Charlotte,,3e Arrondissement,45.76215,4.8461,Entire home/apt,140,365,4,2021-08-05,0.12,1,3,1,
32185065,Joli appartement très lumineux,34196615,Thierry,,7e Arrondissement,45.73501,4.83857,Entire home/apt,51,2,68,2021-08-29,1.99,1,228,13,0693871900072
32200880,Chambre simple lumineuse,225897699,Valentine,,7e Arrondissement,45.74349,4.83381,Private room,21,2,3,2021-01-29,0.09,1,0,2,
32216540,Chambre pour un couple+ une chambre simple,227121910,Cécile,,4e Arrondissement,45.77944,4.83804,Private room,83,4,0,,,7,311,0,
